shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1506_shp,38.070900000000002,-84.476910000000004,51596,15459.466638
1506_shp,38.070540000000001,-84.476309999999998,51597,15676.315955
1506_shp,38.070430000000002,-84.476129999999998,51598,15741.813775000001
1506_shp,38.070320000000002,-84.475949999999997,51599,15807.311656
1506_shp,38.070320000000002,-84.475949999999997,51600,15807.311656
1506_shp,38.069780000000002,-84.475210000000004,51601,16097.236654
1506_shp,38.068449999999999,-84.473640000000003,51602,16759.719518999998
1506_shp,38.068449999999999,-84.473640000000003,51603,16759.719518999998
1506_shp,38.067729999999997,-84.472800000000007,51604,17116.415784000001
1506_shp,38.067680000000003,-84.472880000000004,51605,17145.775819999999
1506_shp,38.065469999999998,-84.476110000000006,51606,18375.605183
1506_shp,38.065469999999998,-84.476110000000006,51607,18375.605183
1506_shp,38.062779999999997,-84.479979999999998,51608,19859.223030000001
1506_shp,38.062779999999997,-84.479979999999998,51609,19859.223030000001
1506_shp,38.059919999999998,-84.484070000000003,51610,21431.32778
1506_shp,38.059919999999998,-84.484070000000003,51611,21431.32778
1506_shp,38.058610000000002,-84.486050000000006,51612,22174.700862999998
1506_shp,38.058610000000002,-84.486050000000006,51613,22174.700862999998
1506_shp,38.056609999999999,-84.488900000000001,51614,23271.920543
1506_shp,38.056609999999999,-84.488900000000001,51615,23271.920543
1506_shp,38.055059999999997,-84.491159999999994,51616,24133.370101
1506_shp,38.055059999999997,-84.491159999999994,51617,24133.370101
1506_shp,38.051870000000001,-84.495699999999999,51618,25882.252123999999
1506_shp,38.051870000000001,-84.495699999999999,51619,25882.252123999999
1506_shp,38.051130000000001,-84.496769999999998,51620,26291.591196000001
1506_shp,38.051130000000001,-84.496769999999998,51621,26291.591196000001
1506_shp,38.049039999999998,-84.499719999999996,51622,27432.178938000001
1506_shp,38.049039999999998,-84.499719999999996,51623,27432.178938000001
1506_shp,38.04889,-84.499920000000003,51624,27511.557687
1506_shp,38.049019999999999,-84.500050000000002,51625,27571.912437999999
1506_shp,38.049250000000001,-84.500299999999996,51626,27682.358672999999
1506_shp,38.049430000000001,-84.500510000000006,51627,27771.543044999999
1506_shp,38.049469999999999,-84.50067,51628,27819.866114
1506_shp,38.049399999999999,-84.500929999999997,51629,27898.959043999999
1506_shp,38.048900000000003,-84.501040000000003,51630,28083.776282999999
1506_shp,38.04853,-84.500919999999994,51631,28222.878023000001
1506_shp,38.048299999999998,-84.500720000000001,51632,28324.527216999999
1506_shp,38.048020000000001,-84.500370000000004,51633,28467.900893999999
1506_shp,38.047199999999997,-84.499570000000006,51634,28845.057236000001
1506_shp,38.047199999999997,-84.499570000000006,51635,28845.057236000001
1506_shp,38.04569,-84.497990000000001,51636,29558.789287
1506_shp,38.044919999999998,-84.497429999999994,51637,29882.265340999998
1506_shp,38.043959999999998,-84.496369999999999,51638,30346.386266000001
1509_shp,38.043959999999998,-84.496369999999999,51639,0.0
1509_shp,38.043590000000002,-84.495940000000004,51640,183.00457700000001
